"","LON","LAT","set"
"1",121.5708,22.00417,"狥场"
"2",121.5792,22.00417,"狥场"
"3",121.5875,22.00417,"狥场"
"4",121.5958,22.00417,"狥场"
"5",121.5625,22.0125,"狥场"
"6",121.5708,22.0125,"狥场"
"7",121.5792,22.0125,"狥场"
"8",121.5875,22.0125,"狥场"
"9",121.5958,22.0125,"狥场"
"10",121.5375,22.02083,"狥场"
"11",121.5458,22.02083,"狥场"
"12",121.5542,22.02083,"狥场"
"13",121.5625,22.02083,"狥场"
"14",121.5708,22.02083,"狥场"
"15",121.5792,22.02083,"狥场"
"16",121.5875,22.02083,"狥场"
"17",121.5958,22.02083,"狥场"
"18",121.6042,22.02083,"狥场"
"19",121.5292,22.02917,"狥场"
"20",121.5375,22.02917,"狥场"
"21",121.5458,22.02917,"狥场"
"22",121.5542,22.02917,"狥场"
"23",121.5625,22.02917,"狥场"
"24",121.5708,22.02917,"狥场"
"25",121.5792,22.02917,"狥场"
"26",121.5875,22.02917,"狥场"
"27",121.5958,22.02917,"狥场"
"28",121.5208,22.0375,"狥场"
"29",121.5292,22.0375,"狥场"
"30",121.5375,22.0375,"狥场"
"31",121.5458,22.0375,"狥场"
"32",121.5542,22.0375,"狥场"
"33",121.5625,22.0375,"狥场"
"34",121.5708,22.0375,"狥场"
"35",121.5792,22.0375,"狥场"
"36",121.5125,22.04583,"狥场"
"37",121.5208,22.04583,"狥场"
"38",121.5292,22.04583,"狥场"
"39",121.5375,22.04583,"狥场"
"40",121.5458,22.04583,"狥场"
"41",121.5542,22.04583,"狥场"
"42",121.5625,22.04583,"狥场"
"43",121.5708,22.04583,"狥场"
"44",121.5042,22.05416,"狥场"
"45",121.5125,22.05416,"狥场"
"46",121.5208,22.05416,"狥场"
"47",121.5292,22.05416,"狥场"
"48",121.5375,22.05416,"狥场"
"49",121.5458,22.05416,"狥场"
"50",121.5542,22.05416,"狥场"
"51",121.5625,22.05416,"狥场"
"52",121.5708,22.05416,"狥场"
"53",121.5042,22.0625,"狥场"
"54",121.5125,22.0625,"狥场"
"55",121.5208,22.0625,"狥场"
"56",121.5292,22.0625,"狥场"
"57",121.5375,22.0625,"狥场"
"58",121.5458,22.0625,"狥场"
"59",121.5542,22.0625,"狥场"
"60",121.5625,22.0625,"狥场"
"61",121.5708,22.0625,"狥场"
"62",121.5792,22.0625,"狥场"
"63",121.5042,22.07083,"狥场"
"64",121.5125,22.07083,"狥场"
"65",121.5208,22.07083,"狥场"
"66",121.5292,22.07083,"狥场"
"67",121.5375,22.07083,"狥场"
"68",121.5458,22.07083,"狥场"
"69",121.5542,22.07083,"狥场"
"70",121.5625,22.07083,"狥场"
"71",121.5708,22.07083,"狥场"
"72",121.4958,22.07916,"狥场"
"73",121.5042,22.07916,"狥场"
"74",121.5125,22.07916,"狥场"
"75",121.5208,22.07916,"狥场"
"76",121.5292,22.07916,"狥场"
"77",121.5375,22.07916,"狥场"
"78",121.5458,22.07916,"狥场"
"79",121.5542,22.07916,"狥场"
